ticker,date,time,title,compound
ROKU,2020-12-14,11:43AM  ,Disney Just Made The Streaming Wars Even More Intense,-0.4601
ROKU,2020-12-11,04:32PM  ,Why We Sold Into Strength On ROKU Stock,0.4939
ROKU,2020-12-11,10:37AM  ,"Roku Analyst: Streaming Stock Executing Well, With Attractive Valuation",0.6124
ROKU,2020-12-09,05:27PM  ,Roku Stock Has Been on a Tear. Why One Analyst Is Still Bullish.,0.0
ROKU,2020-12-09,04:25PM  ,Roku Stock Rises On Cheery Reports For Its Streaming Video Platform,0.5574
ROKU,2020-12-09,04:25PM  ,"Needham Sticks To Its Streaming War Stance: Buy Roku, Sell Netflix",-0.5994
ROKU,2020-12-09,12:40PM  ,Roku (ROKU) Jumps After Analysts Cite 2021 Potential,0.0
ROKU,2020-12-08,03:50PM  ,Roku Stock: Option Traders Like The Look Of A Calendar Spread Trade,0.3612
ROKU,2020-12-07,08:11PM  ,Roku: Latest Data Surprises Even the Staunchest Street Bull,0.2263
ROKU,2020-12-07,04:05PM  ,Roku Welcomes Laurie Simon Hodrick and Gina Luna to Board of Directors,0.4019
ROKU,2020-12-07,10:48AM  ,Is ROKU A Good Stock To Buy Now?,0.4404
ROKU,2020-12-07,09:00AM  ,"The Roku Channel Makes it Easy to Watch Free and Unlocked Entertainment and Debuts iHeartRadio Holiday Music Channels for ""Winter StreamLand""",0.8934
ROKU,2020-12-04,09:55AM  ,5 Streaming Stocks to Buy for a Socially Distanced Holiday Season,0.4019
ROKU,2020-12-01,03:50PM  ,Roku Hires Apples Chief Siri Architect For Software Role,0.0
ROKU,2020-11-28,12:06PM  ,"Benzinga's Bulls And Bears Of The Week: AstraZeneca, Disney, Ford, GE, Roku And More",0.0
ROKU,2020-11-27,08:00AM  ,Top Stock Trading Rules: The Eight-Week Hold Rule And Its Wrinkles,0.2023
ROKU,2020-11-25,02:50PM  ,"Amazon Cloud Outage Hits Customers Including Roku, Adobe",0.1779
ROKU,2020-11-24,12:27PM  ,"Roku Stock Has Doubled but Still Has Strong Upside, Analyst Says",0.6652
ROKU,2020-11-24,12:20PM  ,"Roku's Fundamentals 'Remain Strong,' Analyst Says",0.0
ROKU,2020-11-23,07:14PM  ,A Roku Bear Digs Himself Out of a Hole,0.0
ROKU,2020-11-23,10:08AM  ,Roku (ROKU) Extends Breakout After Price Target Boost,0.4939
ROKU,2020-11-20,04:19PM  ,Roku Stock Hits Record High On Possible HBO Max Carriage Deal,0.0
ROKU,2020-11-20,10:04AM  ,GoodRx CEO Shrugs Off $5 Billion Dive on Amazon Pharma Move,0.1779
ROKU,2020-11-20,06:00AM  ,Should Corporate Zombies Give You Nightmares?,0.0
ROKU,2020-11-19,06:12PM  ,"Roku gets analyst upgrade, upbeat words from Liberty's John Malone",0.0
ROKU,2020-11-18,09:00AM  ,Millions of Americans Streamed Election News for Free on the Roku Platform Breaking TV Streaming Records; Likely Voters Cut the Cord and Embraced AVOD,0.296
ROKU,2020-11-17,09:00AM  ,Roku Announces Limited Edition $17 Roku SE Streaming Player,-0.2263
ROKU,2020-11-16,03:22PM  ,"Capital Market Laboratories (CMLviz) One-on-One CFO Interview: Roku had ""an outstanding quarter""",0.6124
ROKU,2020-11-16,08:31AM  ,"Zoom, Peloton, Netflix stocks among stay-home names declining after upbeat Moderna vaccine announcement",0.0
ROKU,2020-11-13,04:53PM  ,Kearney's Greg Portell on his biggest takeaways from Disney's Q4 earnings,0.0
ROKU,2020-11-13,09:00AM  ,"Roku Chief Financial Officer to Present at RBC Capital Markets Global Technology, Internet, Media & Telecom Virtual Conference",0.0
ROKU,2020-11-12,06:20AM  ,Should Invesco Russell 1000 Equal Weight ETF (EQAL) Be on Your Investing Radar?,0.0
ROKU,2020-11-11,09:00AM  ,Apple AirPlay 2 and HomeKit Support Now Available on Select 4K Roku Streaming Players,0.4019
ROKU,2020-11-10,01:02PM  ,Roku Stock Surged 11% And Is Positioned For Continued Growth,0.3818
ROKU,2020-11-10,12:39PM  ,What To Make Of An Irrational Stock Market,-0.34
ROKU,2020-11-10,10:07AM  ,Heres how a Covid-19 vaccine could affect work-from-home stocks,0.0
ROKU,2020-11-10,07:09AM  ,"Results: Roku, Inc. Confounded Analyst Expectations With A Surprise Profit",0.6124
