,Avg_Score
2021-01-18,0.08493
2021-01-17,0.15081499999999998
2021-01-16,-0.17151000000000002
2021-01-15,0.029269999999999997
2021-01-14,0.21285000000000004
2021-01-13,0.09429
2021-01-12,0.27581999999999995
2021-01-11,0.050015
2021-01-10,0.06465499999999999
2021-01-09,0.160555
2021-01-08,0.09585999999999999
2021-01-07,0.17953000000000002
2021-01-06,0.16426499999999994
2021-01-05,0.05452
2021-01-04,-0.0618
2021-01-03,-0.055014999999999994
2021-01-02,0.08724
2021-01-01,-0.10447500000000001
2020-12-31,-0.010804999999999999
2020-12-30,-0.042325000000000015
2020-12-29,0.15746
2020-12-28,0.30931000000000003
2020-12-27,-0.035065
2020-12-26,0.297535
2020-12-25,0.14640499999999998
2020-12-24,0.11660000000000004
2020-12-23,0.12253
2020-12-22,0.12332105263157896
2020-12-21,0.17234000000000002
2020-12-20,0.21927500000000003
2020-12-19,0.02672500000000001
