title,roku_compound,roku_sentiment
"TCL's 2021 TV lineup includes a massive 85-inch Roku TV for just $1,599",0.0,0.0
TCL launches affordable 8K TVs and a NXTPAPER tablet at CES 2021,0.0,0.0
TCL’s latest soundbars go fully wireless at CES 2021,0.0,0.0
"Vizio TV sale: Save $200 on a 65-inch OLED smart TV, get a 70-inch LED TV for $170 off - CNET",0.7096,1.0
Google TV is coming to more TVs with TCL's 2021 lineup,0.0,0.0
"Meet the online gadget show, a hall of mirrors to the future - CTV News",0.0,0.0
"Meet the online gadget show, a hall of mirrors to the future - 95.7 News",0.0,0.0
TCL announces new Google TV set to debut later this year,0.0,0.0
"TCL announces mini-LED, OLED, and QLED TVs at CES 2021",0.0,0.0
TCL will launch its first television with Google TV this year - CNET,0.0,0.0
Roku (ROKU) Gains As Market Dips: What You Should Know,0.34,1.0
TCL shows MoveAudio S600 wireless earphones alongside AirPlay soundbars at CES,0.0,0.0
Roku Stock Has Soared. Citigroup Sees New Heights Ahead.,0.0,0.0
TCL’s New 6-Series QLED TVs Will All Be 8K,0.0,0.0
"Stocks making the biggest moves midday: Nio, Tesla, Roku, Lululemon & more",0.0,0.0
Ex-police chief suspects pipe bombs were used to distract from Capitol attack,-0.7717,-1.0
Black officers describe their experiences during Capitol Riots,-0.5106,-1.0
North Carolina Democrats look to oust Madison Cawthorn,0.0,0.0
How to watch American Gods from anywhere online,0.0,0.0
Black woman named acting Capitol police chief,0.0,0.0
How to watch Bears vs Saints Wildcard live stream online from anywhere,0.0,0.0
How to watch Browns vs. Steelers Wild Card live stream,0.0,0.0
How to watch Ravens vs. Titans NFL Wild Card live stream,0.0,0.0
How to watch Colts vs Bills live stream online anywhere,0.0,0.0
Quibi Sells Its Library To Roku,0.0,0.0
Roku Pops 5% On Quibi Catalog Content Deal,0.0,0.0
Roku or Zoom: Which is the Better Tech Pick in 2021?,0.4404,1.0
Westinghouse 65″ LED 4K Smart Roku TV Only $399.99 Shipped on BestBuy.com (Regularly $600),0.4019,1.0
Roku TV Was the Top TV Operating System in 2020,0.2023,1.0
"Free Horror, Action, & Comedy on the Way From Quibi & Roku",0.2732,1.0
Roku officially takes over short-lived Quibi's library of 75 original shows that include big name stars like Chrissy Teigen and Kevin Hart,0.5859,1.0
Westinghouse 65″ Class LED 4K UHD Smart Roku TV – Only $399.99!,0.4574,1.0
Lenovo LED Monitor Only $199.99 Shipped on BestBuy.com (Regularly $300),0.0,0.0
Got new tech? Lock it down now before it’s too late - KTAR.com,0.0,0.0
Pence reportedly still considering 25th Amendment,0.0,0.0
Another Capitol police officer died this week,-0.5574,-1.0
Why Quibi's Content Could Work Better at Roku Than Quibi,0.4404,1.0
Republican AGs association promoted Capitol march through robocalls,0.4215,1.0
"During the Capitol riots, Trump made calls to halt election proceedings",-0.5106,-1.0
Why Quibi's Content Could Work Better at Roku Than Quibi,0.4404,1.0
How to watch Bucs vs Washington live stream online anywhere,0.0,0.0
How to watch NFL Playoffs and wild card live streams online anywhere,0.0,0.0
Here's how to watch the Rams vs Seahawks Wild Card game online,0.0,0.0
"Saturday's Best Deals: 65-Inch Roku 4K TV, Water Flosser, Ergonomic Massage Gaming Chair, Knit Cap Sets, Fast iPhone 12 Charger, and More",0.6369,1.0
Quibi's short-form videos will be resurrected in 2021 thanks to Roku,0.4404,1.0
Roku Expands Reach with Exclusive Content from Quibi,0.25,1.0
Warren Buffett’s Latest Challenger Will Fizzle Like the Rest,0.4588,1.0
Roku has bought Quibi's shows,0.0,0.0
115° - Hisense Roku 50 Inch Smart 4K HDR LED TV £329 / 43 inch £279 / 55 inch £379 (£3.95 delivery) @ Argos,0.4019,1.0
Roku Announces It’s the #1 Selling Smart TV OS in the US and Canada,0.4019,1.0
‘SoHo Karen’ taken to court with feet shackled,0.0,0.0
Proud Boys Hawaii founder Nick Ochs arrested for unlawful entry at Capitol,0.0,0.0
"Congressional Democrats demand Capitol riot investigation, fear it was an ‘inside job’",-0.8074,-1.0
The Best Way to Store and Organize Batteries,0.6369,1.0
"Kansas vs. Oklahoma: Prediction, pick, odds, point spread, line, basketball game, tipoff time, live stream",0.0,0.0
Where to find Arsenal vs. Newcastle on US TV and streaming,0.0,0.0
Daily Crunch: Roku buys Quibi’s content library,0.0,0.0
Roku Acquires Rights to Quibi’s Content - The Wall Street Journal,0.0,0.0
Quibi’s $1.75B experiment ends with Roku acquisition for “less than $100M”,0.0,0.0
Roku buys video-streaming app Quibi's content library - Reuters,0.0,0.0
Roku buys video-streaming app Quibi's content library - Reuters,0.0,0.0
Roku Buys Content From Failed Quibi Video App,-0.5106,-1.0
"Roku Tops 51 Million Accounts, Becoming the Biggest Smart TV Platform in North America",0.7184,1.0
Roku confirms it is buying Quibi content for use on Roku Channel [U],0.0,0.0
"Quibi might be dead, but its content lives on with acquisition by Roku",-0.3919,-1.0
