Date,Open,High,Low,Close,Volume
1/2/2018 16:00:00,52.64,52.85,50.35,52.07,4226712
1/3/2018 16:00:00,52.8,57.42,52.72,55.44,9911844
1/4/2018 16:00:00,51.56,52.78,50.21,51.24,9392607
1/5/2018 16:00:00,48.06,48.99,46.13,46.28,13007892
1/8/2018 16:00:00,45.14,48.36,42.79,47.47,12031446
1/9/2018 16:00:00,46.75,48.11,44.26,44.73,7244491
1/10/2018 16:00:00,43.2,45.75,42.91,44.71,5157043
1/11/2018 16:00:00,45,45.61,43.7,43.87,3332324
1/12/2018 16:00:00,44.5,44.57,43.05,43.38,3724498
1/16/2018 16:00:00,43.41,43.75,39.1,39.19,7956518
1/17/2018 16:00:00,39.47,42.09,39.47,41.54,6603145
1/18/2018 16:00:00,41.2,41.84,40.66,40.76,2728936
1/19/2018 16:00:00,40.61,41.35,40.1,40.22,1967863
1/22/2018 16:00:00,40.1,43.82,39.53,43.62,5429555
1/23/2018 16:00:00,45.64,46.75,42.54,42.62,8382081
1/24/2018 16:00:00,43.44,43.9,41.3,42.25,3546287
1/25/2018 16:00:00,42.85,44.7,41.85,44.1,3933358
1/26/2018 16:00:00,44.36,44.89,42.77,42.91,3280543
1/29/2018 16:00:00,42.25,43.36,41.91,42.36,1795846
1/30/2018 16:00:00,41.25,42.23,40.8,41.52,2807173
1/31/2018 16:00:00,42.3,42.3,40.48,40.62,2245854
2/1/2018 16:00:00,40.35,41.73,39.42,39.92,2521689
2/2/2018 16:00:00,40.57,42.12,40,40.46,2846383
2/5/2018 16:00:00,39.97,41.86,39.52,40.17,2848181
2/6/2018 16:00:00,39.01,42,39.01,41.9,2636989
2/7/2018 16:00:00,42.73,46.45,42.55,45.69,4760397
2/8/2018 16:00:00,46.04,47.35,43.56,43.7,5320436
2/9/2018 16:00:00,45,45.35,40.1,42.46,3590670
2/12/2018 16:00:00,43.56,44,41.83,43.23,1967379
2/13/2018 16:00:00,42.22,43.69,42.14,43.02,1278119
2/14/2018 16:00:00,42.95,46.1,42.87,44.85,3434127
2/15/2018 16:00:00,45.8,46.1,44.37,45.64,2061708
2/16/2018 16:00:00,45.6,49.4,45.4,48.13,6183410
2/20/2018 16:00:00,50.45,51.75,49.48,51.18,7554968
2/21/2018 16:00:00,52.03,52.7,49.14,51.1,12715582
2/22/2018 16:00:00,40.39,44.33,39.75,42.05,24022573
2/23/2018 16:00:00,42.92,43.2,41.38,41.52,6155164
2/26/2018 16:00:00,41.82,42.15,40.21,40.44,5135042
2/27/2018 16:00:00,40.3,41.39,40.28,40.91,3080949
2/28/2018 16:00:00,41.1,41.8,40.5,40.77,2159617
3/1/2018 16:00:00,40.21,40.88,38.38,38.72,4438023
3/2/2018 16:00:00,38.11,38.65,37.33,37.57,3630697
3/5/2018 16:00:00,37.6,40.12,37.4,39,3303154
3/6/2018 16:00:00,39.8,40.14,38.5,38.58,2702716
3/7/2018 16:00:00,37.76,39.6,37.76,38.89,2092186
3/8/2018 16:00:00,39.2,39.47,38.05,38.69,1868880
3/9/2018 16:00:00,38.8,39.56,38.5,38.5,1891854
3/12/2018 16:00:00,38.4,39.09,37.16,37.87,3154539
3/13/2018 16:00:00,37.67,38.4,37.05,37.37,3752647
3/14/2018 16:00:00,37.2,37.8,36.8,36.93,2167140
3/15/2018 16:00:00,36.81,37.03,35.3,36.27,2982607
3/16/2018 16:00:00,36,36.15,35.38,35.86,1900717
3/19/2018 16:00:00,35.44,35.79,33.25,33.85,3583076
3/20/2018 16:00:00,35.37,35.5,33.58,34.73,3663666
3/21/2018 16:00:00,34.5,35.11,34.2,34.25,1748759
3/22/2018 16:00:00,33.54,33.98,32.34,33.51,2607673
3/23/2018 16:00:00,32.92,33.6,31.8,32.06,3171492
3/26/2018 16:00:00,32.85,35.45,32.85,34.59,5476389
3/27/2018 16:00:00,33.55,34.63,32.6,33,9532729
3/28/2018 16:00:00,33.08,34.04,30.81,31.3,5184730
3/29/2018 16:00:00,31.34,32.75,29.8,31.1,6457873
4/2/2018 16:00:00,30.57,31.67,29.8,30.33,3253472
4/3/2018 16:00:00,30.97,31.19,29.18,30.29,4481721
4/4/2018 16:00:00,29.03,32.46,29,32.27,3211625
4/5/2018 16:00:00,32.77,33.05,31.15,31.76,3095553
4/6/2018 16:00:00,31.06,31.9,30.69,31.36,1364921
4/9/2018 16:00:00,31.32,32.96,31.27,32.61,2090847
4/10/2018 16:00:00,33.35,33.49,31.61,32.27,3197347
4/11/2018 16:00:00,31.92,32.8,31.25,32.01,1673911
4/12/2018 16:00:00,32.2,33.92,32.12,33.69,2354044
4/13/2018 16:00:00,33.93,34.04,32.55,32.69,1926837
4/16/2018 16:00:00,32.88,33.24,32.14,33.02,2325614
4/17/2018 16:00:00,35.35,37.27,34.65,35.98,13923158
4/18/2018 16:00:00,34.54,35.18,31.71,31.72,15597778
4/19/2018 16:00:00,32.24,33.31,31.75,32.7,7067871
4/20/2018 16:00:00,32.61,32.94,30.87,32.57,5022151
4/23/2018 16:00:00,32.53,32.68,31.56,32.27,2114107
4/24/2018 16:00:00,32.46,33.34,31.71,32.4,2892759
4/25/2018 16:00:00,32.41,32.53,31.36,31.88,1668360
4/26/2018 16:00:00,32.12,33.38,31.9,32.91,2175239
4/27/2018 16:00:00,32.95,33.08,32.11,32.7,1211023
4/30/2018 16:00:00,32.76,33.39,32.18,32.54,1640778
5/1/2018 16:00:00,32.38,33.17,31.82,32.97,2133090
5/2/2018 16:00:00,32.79,33.75,32.71,33.36,2645934
5/3/2018 16:00:00,33.02,33.12,30.88,31.02,5824355
5/4/2018 16:00:00,31.1,32.2,31.07,31.55,5104481
5/7/2018 16:00:00,31.95,34,31.93,33.17,6006650
5/8/2018 16:00:00,33.83,34.25,32.92,33.12,5501023
5/9/2018 16:00:00,34.38,36.95,34,36.08,21384696
5/10/2018 16:00:00,38.3,38.84,35.15,35.46,30801965
5/11/2018 16:00:00,33.76,35.18,31.78,35.14,12678153
5/14/2018 16:00:00,35.46,36.5,35.12,35.3,5932360
5/15/2018 16:00:00,35,35.1,33.53,34.08,4964961
5/16/2018 16:00:00,34,34.78,33.98,34.44,2364831
5/17/2018 16:00:00,34.05,35.03,34.04,34.26,2639807
5/18/2018 16:00:00,35,36.31,34.92,35.4,6855008
5/21/2018 16:00:00,36.4,36.6,34.56,34.74,4808681
5/22/2018 16:00:00,35.09,35.19,33.87,34.04,3353656
5/23/2018 16:00:00,33.73,34.58,33.62,34.55,2368455
5/24/2018 16:00:00,34.62,36.1,34.6,35.99,5706642
5/25/2018 16:00:00,36.06,39.08,35.65,38.54,21203421
5/29/2018 16:00:00,39.11,39.88,37.62,38.6,13802296
5/30/2018 16:00:00,38.92,39.07,37.31,38.45,7371784
5/31/2018 16:00:00,38.2,38.62,37.35,37.46,4160117
6/1/2018 16:00:00,37.55,37.81,36.14,37.07,6991263
6/4/2018 16:00:00,37.37,38.22,37.13,38.03,5655570
6/5/2018 16:00:00,38.03,40.47,37.7,40.26,10949206
6/6/2018 16:00:00,40,40.2,38.51,39.45,8130791
6/7/2018 16:00:00,38.94,39.64,37.52,39.57,6494310
6/8/2018 16:00:00,39.04,39.75,38.81,39.24,4448194
6/11/2018 16:00:00,39.66,42.15,39.6,41.46,12357835
6/12/2018 16:00:00,41.82,42.15,40.78,41.46,7289539
6/13/2018 16:00:00,41.68,43.9,40.86,43.43,15160750
6/14/2018 16:00:00,44.12,45.81,42.75,45.02,17120433
6/15/2018 16:00:00,43.99,45.1,43.16,43.3,10678610
6/18/2018 16:00:00,43,45.83,42.75,44.93,9400398
6/19/2018 16:00:00,44.3,46.5,44.05,45.27,8568991
6/20/2018 16:00:00,45.91,47.4,45.5,46.75,8876479
6/21/2018 16:00:00,47.2,47.64,44.61,45.37,9306088
6/22/2018 16:00:00,45.9,46.19,43.5,44.71,10590919
